pheno,sex,fam,id,position,S005326_13993,S004295_103178,S000691_27584,S006407_145458,S005269_20591,S001059_35127,S006896_161765,S003785_97926,S006807_218645,S006807_12726,S001756_245062,S009810_108106,S002190_273267,S003842_44270,S001065_139337,S003702_428645,S000039_104537,S000951_177767,S000809_467688,S005960_25480,S011424_11798,S000417_200151,S002808_914765,S000562_433958,S001650_82475,S003200_185618,S000683_159212,S000430_516004,S000472_184827,S002143_89659,S001404_149396,S000820_51652,S000272_91859,S002944_388087,S004683_48343,S002445_388277,S002565_116956,S001239_386983,S003497_180469,S001371_680831,S006506_7146,S000353_224758,S000933_1324863,S000933_679595,S001839_297109,S001044_55790,S005519_323363,S000305_122692,S004564_228188,S001042_226508,S001129_3950,S001129_278534,S001129_1281044,S000180_656202,S000091_405155,S000091_418819,S000478_63050,S004669_111539,S005334_732499,S003838_3055872,S003838_1390194,S003838_101395,S003802_75418,S001166_231556,S001719_497344,S000166_133294,S001441_362009,S005338_322928,S001871_153614,S002703_498629,S003304_1517727,S003304_126558,S014061_123620,S000089_52506,S001870_91052
3.77,m,1,eB2080,qtl4plate10_C04,B,B,B,B,B,B,B,-,B,B,B,B,B,-,B,B,B,B,B,-,B,B,B,-,B,-,B,B,B,B,A,B,B,B,B,B,A,-,B,-,B,-,B,B,H,B,B,B,B,-,B,-,B,B,B,B,-,B,-,B,B,B,B,B,B,B,B,H,-,-,H,-,H,H,H
3.48,m,1,eB2153,qtl4plate10_A01,B,B,B,B,B,B,B,-,B,B,B,B,B,-,B,B,B,B,B,B,-,B,B,H,H,-,B,B,B,B,B,B,B,B,B,-,B,H,-,-,-,-,H,H,B,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,-,B,B,B,H,-,-,H,-,-,H,H
3.82,m,1,eB2198,qtl4plate10_D06,H,B,H,B,B,B,B,-,B,B,B,B,B,-,B,B,B,B,B,-,-,B,B,B,B,-,B,B,B,B,H,B,B,B,B,B,H,B,-,B,B,-,B,B,H,B,B,B,B,B,B,B,B,B,B,B,-,B,-,B,B,B,B,B,B,B,-,H,-,-,H,-,-,H,H
3.67,m,0,cB1622,qtl4plate9_G12,H,A,H,H,H,H,H,H,B,H,H,-,H,B,H,H,H,H,H,H,-,H,H,H,H,-,H,H,H,H,H,H,-,H,H,H,-,H,-,H,H,-,H,H,-,H,H,H,H,-,H,H,H,H,B,H,A,H,-,H,H,H,H,H,H,H,B,H,B,-,B,-,-,B,B
3.32,m,1,eB2092,qtl4plate10_B05,A,B,H,A,B,B,H,-,B,A,B,B,B,-,B,B,B,B,B,-,B,B,B,A,A,-,B,B,B,B,H,B,-,B,B,B,H,H,-,H,-,-,H,H,-,H,H,H,H,H,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,H,-,-,H,-,H,H,H
3.76,m,1,eB2094,qtl4plate10_B10,H,B,H,B,H,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,A,B,-,B,B,B,A,B,-,B,-,-,B,B,-,B,B,B,H,H,B,B,B,B,A,B,B,B,-,B,B,B,B,B,B,B,B,B,-,-,B,-,-,B,B
3.57,m,0,cB1125,qtl4plate9_C06,H,H,H,H,H,H,H,-,H,B,H,B,H,B,H,H,H,H,B,H,-,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,H,H,H,-,H,-,H,H,H,H,H,H,H,-,B,B,B,B,-,B,-,B,-,B,B,B,B,B,B,B,-,B,-,-,B,B,-,B,B
3.10,m,0,cB1610,qtl4plate9_G08,H,H,H,H,-,H,H,-,H,B,A,A,A,-,A,A,A,A,H,A,A,A,A,A,A,-,A,A,H,A,A,A,A,H,A,A,-,A,A,A,-,-,A,A,-,A,A,A,A,-,A,A,A,A,B,A,A,A,-,A,A,A,A,A,H,H,H,H,-,H,H,-,H,H,H
3.03,m,1,eB2062,qtl4plate10_C09,A,B,A,-,B,B,B,-,B,A,B,B,B,-,B,B,B,B,B,-,-,B,B,A,A,-,B,B,B,B,B,B,B,B,B,-,B,A,-,A,-,A,A,A,A,A,A,A,A,-,-,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H
3.32,m,1,eB2101,qtl4plate10_B06,A,B,H,A,B,B,H,-,B,H,B,B,B,-,B,B,B,B,B,B,-,B,B,H,H,-,B,B,B,B,H,B,B,B,B,B,H,H,-,-,A,H,H,B,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,H,-,-,H,-,-,H,H
3.77,m,1,eB2160,qtl4plate10_A05,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,-,B,B,B,B,B,B,B,-,B,B,B,B,-,B,-,B,-,B,B,B,B,B,B,B,B,B,-,B,B,-,-,B,B
3.42,m,1,eB2161,qtl4plate10_A12,H,B,H,B,B,B,B,-,B,H,B,B,B,-,B,B,B,B,B,B,-,B,B,H,H,-,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,A,H,-,H,H,H,B,-,B,B,B,B,H,B,-,B,-,B,B,B,B,B,B,B,B,B,-,B,B,-,-,B,B
3.39,m,1,eB2032,4eplate1_B09,H,B,H,B,B,B,B,-,B,H,B,B,B,-,B,B,B,B,B,-,B,B,B,H,H,B,B,B,B,B,B,B,-,B,B,B,B,H,H,-,-,B,H,H,H,H,H,H,A,-,B,B,B,-,A,B,B,B,A,B,B,B,B,B,B,B,B,B,-,-,B,B,-,B,B
3.82,m,1,eB2064,qtl4plate10_C11,H,B,H,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,H,B,B,B,B,B,-,B,B,B,-,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,-,-,B,-,-,B,B
3.41,m,1,eB2145,qtl4plate10_A10,H,B,H,B,B,B,B,-,B,A,B,B,B,-,B,B,B,B,B,-,-,B,B,B,H,-,B,B,B,B,B,B,B,B,B,-,B,H,B,H,-,-,H,H,H,H,H,H,H,H,B,B,B,B,A,B,B,B,-,B,B,B,B,B,B,B,B,B,-,B,B,B,-,B,B
3.45,m,1,eB2103,qtl4plate10_C02,H,B,H,B,B,B,B,-,B,H,B,B,B,-,B,B,B,B,B,B,-,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,-,-,A,H,H,H,H,H,H,-,B,B,B,B,-,B,B,B,H,B,B,B,B,B,B,B,B,B,-,-,B,B,-,B,B
3.79,m,1,eB2139,qtl4plate10_A06,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,B,B,B,B,B,B,B,B,H,-,H,H,H,-,H,H
3.86,m,1,eB2164,qtl4plate10_A08,B,B,B,B,B,B,B,-,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,H,B,B,B,B,B,H,B,-,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,-,H,H
3.12,m,0,cB1618,qtl4plate9_G11_retry,H,A,A,A,A,A,H,-,A,B,H,A,H,H,A,A,A,A,H,H,H,H,H,A,A,-,A,A,A,H,H,H,A,H,H,H,A,A,H,H,A,A,A,A,A,H,H,A,H,-,H,A,H,H,B,H,-,H,H,H,H,H,H,H,A,A,A,H,-,-,A,-,H,A,A
3.24,m,1,eB2151,qtl4plate9_H06,B,B,B,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,-,-,A,A,-,A,A,A,A,-,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,-,B,B,B,-,B,B
3.40,m,0,cB1496,qtl4plate9_D07,A,A,A,A,A,A,H,-,A,B,H,H,H,-,H,H,H,H,H,H,B,H,H,H,H,H,H,H,B,H,H,H,-,H,H,B,H,H,-,H,-,B,H,H,A,H,H,H,H,H,H,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H
3.45,m,1,eB2096,qtl4plate10_B11,H,B,H,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,B,B,B,B,B,B,B,B,H,H,H,-,H,H,H,H,H,H,H,H,-,B,B,B,B,A,B,B,B,-,B,B,B,B,B,B,B,B,H,-,H,H,A,H,H,H
3.42,m,1,eB2175,qtl4plate10_D05,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,B,H,B,B,B,B,B,H,H,-,H,A,H,H,H,-,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,-,-,B,B,B,B,B
3.18,m,0,cB1528,4cplate5_F04,A,A,A,A,A,A,A,-,A,B,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H
3.63,m,1,eB1923,4eplate1_C02,H,B,B,H,B,B,H,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,-,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,B,B,B,B,B,B,B,H,-,-,H,H,H,H,H
3.69,m,1,eB2036,4eplate1_C09,H,B,H,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,H,-,-,H,H,-,A,H
3.08,m,1,eB2066,qtl4plate10_B09,A,B,A,-,B,B,B,-,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,-,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B
3.41,m,1,eB2091,qtl4plate10_C10,B,B,B,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,B,B,B,B,B,B,B,B,H,H,A,-,B,H,H,-,H,H,H,H,H,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,H,-,B,H,B,H,H,H
3.77,m,1,eB2201,qtl4plate10_D09,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,B,B,B,-,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B
3.22,m,0,cB1490,qtl4plate9_C08,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,-,A,A,A,A,A,A,A,-,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,B,H,H
3.60,m,0,cB1611a,qtl4plate9_G09,H,H,H,H,H,H,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,-,B,B,-,B,B
3.51,m,1,eB2104,qtl4plate10_B07,H,B,H,B,B,B,B,-,B,H,B,B,B,-,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,-,H,H,H,B,B,B,B,B,B,B,B,B,B,H,B,B,B,-,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.31,m,1,eB2157,qtl4plate9_H09,A,B,H,A,B,B,H,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,-,H,H,H,H,H,H,H,H,H,B,B,B,B,A,B,B,B,H,B,B,B,B,B,B,B,B,A,A,-,A,-,-,A,A
3.51,m,0,cB1529,4cplate5_C03,H,H,H,H,H,H,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,-,B,B,B,B,B
3.42,m,1,eB1862,4eplate1_G03,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,-,-,B,-,B,B,B
3.15,m,1,eB2154,qtl4plate9_H07,A,B,A,-,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B
3.11,m,1,eB2163,qtl4plate9_H11,H,B,H,B,B,B,B,-,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,-,B,B,B,B,B,B,B,B,B,B,B,A,H,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.14,m,0,cB1607,4cplate1_D03,H,H,H,A,A,A,A,-,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.47,m,0,cB915,4cplate2_B06,H,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,-,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B,B,H,H,B
3.14,m,1,eB1920,qtl4plate10_H05,A,B,H,A,B,-,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,-,A,A,A,A,A,A,A,A,A,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.43,m,1,eB2002,qtl4plate10_H07,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.75,m,1,eB2095,qtl4plate10_C01,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.18,m,1,eB2170,qtl4plate10_D03,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,-,-,B,B,B,B,B
3.48,m,1,eB2172,qtl4plate10_D04,A,B,A,-,B,B,B,-,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.51,m,0,cB1080,4cplate2_D02,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,B,B,-,B,B,B,B,B,B
3.48,m,0,cB1102,4cplate1_C01,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.56,m,0,cB1103,4cplate1_D01,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.82,m,0,cB1109,4cplate1_E01,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.48,m,0,cB1110,4cplate1_A05,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A
3.71,m,0,cB1117,4cplate1_F01,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.67,m,0,cB1119,4cplate1_C02,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.59,m,0,cB1123,4cplate1_E02,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.91,m,0,cB1128,4cplate1_F03,H,H,H,H,H,H,H,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.50,m,0,cB1132,4cplate1_C05,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.42,m,0,cB1133,4cplate1_G02,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.25,m,0,cB1136,4cplate1_H04,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.40,m,0,cB1138,4cplate1_G01,A,A,A,A,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.80,m,0,cB1141,4cplate1_H03,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.25,m,0,cB1142,4cplate1_H02,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.99,m,0,cB1143,4cplate1_C04,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.59,m,0,cB1146,4cplate1_A03,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.99,m,0,cB1150,4cplate1_G04,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
3.88,m,0,cB1152,4cplate1_D02,H,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
