pheno,sex,fam,id,position,S005326_13993,S004295_103178,S000691_27584,S006407_145458,S005269_20591,S001059_35127,S006896_161765,S003785_97926,S006807_218645,S006807_12726,S001756_245062,S009810_108106,S002190_273267,S003842_44270,S001065_139337,S003702_428645,S000039_104537,S000951_177767,S000809_467688,S005960_25480,S011424_11798,S000417_200151,S002808_914765,S000562_433958,S001650_82475,S003200_185618,S000683_159212,S000430_516004,S000472_184827,S002143_89659,S001404_149396,S000820_51652,S000272_91859,S002944_388087,S004683_48343,S002445_388277,S002565_116956,S001239_386983,S003497_180469,S001371_680831,S006506_7146,S000353_224758,S000933_1324863,S000933_679595,S001839_297109,S001044_55790,S005519_323363,S000305_122692,S004564_228188,S001042_226508,S001129_3950,S001129_278534,S001129_1281044,S000180_656202,S000091_405155,S000091_418819,S000478_63050,S004669_111539,S005334_732499,S003838_3055872,S003838_1390194,S003838_101395,S003802_75418,S001166_231556,S001719_497344,S000166_133294,S001441_362009,S005338_322928,S001871_153614,S002703_498629,S003304_1517727,S003304_126558,S014061_123620,S000089_52506,S001870_91052
3.10,f,1,e6,4eplate1_F12,A,B,A,-,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.50,f,1,e13,4eplate1_H11,A,B,A,-,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.00,f,1,e73,qtl4plate9_B08,A,B,A,-,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.20,f,1,e78,4cplate5_E07,A,B,A,-,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.35,f,1,e92,4cplate5_G07,H,B,B,H,B,-,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.60,f,0,c27,4cplate4_C11,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.40,f,0,c29,4cplate4_G11_retry,H,H,H,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.70,f,0,c38,4cplate4_F11,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.80,f,0,c141,4cplate4_H11,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
3.50,f,0,c161,4cplate4_H09,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
3.50,f,0,c162,4cplate4_D12,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H
3.90,f,0,c172,4cplate5_G05,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A
3.40,f,0,c184,4cplate4_E09,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.65,f,0,c192,qtl4plate10_H02,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.70,f,0,c195,4cplate5_A05,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.90,f,0,c210,4cplate5_E11,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H
3.90,f,0,c213,4cplate5_D11,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.80,f,0,c214,qtl4plate10_H03,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.30,f,0,c216,4cplate5_C11,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B
3.80,f,0,c228,4cplate5_B11,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.40,f,0,c229,4cplate4_G12,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H
3.40,f,0,c232,4cplate5_F11,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.90,f,0,c241,4cplate5_G11_retry,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,B,H,B,H,H,H,H,H,H,H,H,H,H
3.80,f,0,c242,4cplate5_H11,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.40,f,0,c243,4cplate5_A12,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
3.40,f,0,c249,4cplate5_B12,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B
3.80,f,0,c253,4cplate5_C12,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.40,f,0,c294,4cplate5_D12,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.50,f,0,c306,4cplate5_G12,H,H,H,H,H,H,H,H,H,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A
3.70,f,0,c315,4cplate5_B05,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.55,f,0,c321,4cplate4_F12,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.50,f,0,c326,4cplate4_E12,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.70,f,0,c347,4cplate5_C05,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.20,f,0,c357,4cplate5_D05,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.60,f,0,c384,4cplate5_E05,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B
3.55,f,0,c385,4cplate5_F05,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.60,f,0,c389,4cplate4_A11,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
3.30,f,1,e8,4eplate1_G11,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,H,H,H,H,H
3.20,f,1,e9,qtl4plate9_B01,H,B,B,H,B,B,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.00,f,1,e12,qtl4plate9_C02,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.15,f,1,e16,qtl4plate9_C01,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.30,f,1,e19,4eplate1_A12,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.30,f,1,e23,4eplate1_B12,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.50,f,1,e24,4eplate1_C12,H,B,B,H,B,B,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.50,f,1,e26,qtl4plate11_A02,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.30,f,1,e36,4eplate1_E12,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.10,f,1,e38,qtl4plate9_B12,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.60,f,1,e43,qtl4plate9_B06,A,B,H,A,B,B,H,H,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.30,f,1,e58,qtl4plate9_B11,A,B,H,A,B,B,H,H,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.40,f,1,e59,4cplate5_A08,H,B,B,H,B,B,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H
3.30,f,1,e60,4cplate5_F07,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.35,f,1,e61,qtl4plate9_B10,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.50,f,1,e62,qtl4plate9_B05,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.60,f,1,e66,qtl4plate9_C05,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.40,f,1,e68,qtl4plate9_B09,A,B,H,A,B,B,H,H,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.50,f,1,e69,qtl4plate9_B04,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.40,f,1,e72,qtl4plate9_B03,A,B,H,A,B,B,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A
3.50,f,1,e74,qtl4plate9_C04,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.00,f,1,e75,qtl4plate9_B07,H,B,B,H,B,B,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.30,f,1,e84,qtl4plate9_B02,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
3.20,f,1,e90,4cplate5_H07,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
3.60,f,1,e96,4cplate5_H05,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A
3.40,f,1,e110,qtl4plate10_C06,H,B,H,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,H,B,B,B,B,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
